Tax,gdppc,doing_business
20.1,41794.53892,0.4
20.7,41565.27122,0.4
22,40699.35513,0.4
42.3,39924.1959,0.4
44.1,41611.25081,0.4
44.3,41647.38781,0.8
45,41203.3504,0.8
47.5,40471.26053,0.9
,39604.35486,0.9
,38805.67111,0.6
,38500.31708,
,37712.12824,
,37431.91698,
,35903.15453,
,34424.05206,
,33425.81513,
,32394.57787,
,32226.22694,
,31646.81026,
,30578.44562,
,30115.28124,
,30220.36078,
,31299.65457,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
28.8,,2.3
28.8,57410.16586,2.3
28.8,57421.5485,2.3
28.8,57264.1574,2.3
28.8,57218.02793,2.3
28.8,56535.74005,2.3
29.4,56149.67086,2.3
28.9,56183.83259,2.4
28.8,55866.30507,2.4
28.7,54805.57929,2.3
27.8,56755.83813,2.4
27.9,56269.1565,2.4
27.6,54531.9937,2.5
28.8,52770.46893,9
,51505.09237,8.9
,50459.50291,8.9
,50815.15316,
,51117.88744,
,50775.97634,
,49128.03357,
,48540.27293,
,47271.35553,
,46301.83304,
,46256.97059,
,46344.26035,
,46129.44181,
,46610.1898,
,47147.53929,
,48181.75578,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
29.9,22516.60786,5.9
28.9,22195.27437,5.9
27.7,21998.30715,5.9
27.7,21330.23991,7
24.5,20437.70453,7.6
24.5,19442.05032,9.3
24.8,18547.46153,9.4
25.1,19031.61643,10
25.1,18572.56839,11.1
25.1,17890.59972,12.3
25.3,17007.57982,12.8
,16258.38895,12.5
,15332.29703,14.6
,14895.54019,
,14613.80387,
,14315.42606,
,13758.91443,
,13991.42305,
,13587.50678,
,12819.8977,
,12172.25856,
,11336.78427,
,10956.11456,
,10437.98489,
,9538.654631,
,8991.846477,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
34,,5.7
33,22767.03719,5.9
31.4,22614.39367,5.9
,,
,,
,,
,,
,,
,,
,,
,27907.86617,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,52993.39683,
,52172.83515,
,51065.15272,
,50322.09537,
,49693.51481,
,49789.12519,
,50004.90187,
,50381.67008,
,52959.66132,
,58527.81389,
,60384.0825,
,60231.64835,
,59251.51081,
,57191.39381,
,58246.43766,
,58750.92877,
,59665.32407,
,61627.0992,
,63897.02463,
,65182.13176,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
22.2,,11.9
22.7,32415.13223,12.4
24.2,31442.44029,12.2
24,30549.29713,12.5
22.5,29786.36565,13
21.9,29879.75907,12.6
